,Year,Month,Province_group,Distance,Hospital_admission,Mode,Year-Month
1153,2019,1,North,   20.04,0.0,Commute,201901.0
13,2019,1.0,South,   12.44,0.0,Total,201901.0
385,2019,1.0,North,   12.54,0.0,Fun,201901.0
769,2019,1.0,North,0,0.0,Edu,201901.0
773,2019,1.0,East,   15.58,0.0,Edu,201901.0
585,2019,1.0,West,   21.11,0.0,Visit,201901.0
205,2019,1.0,South,    5.17,0.0,Walk,201901.0
9,2019,1.0,West,   11.93,0.0,Total,201901.0
777,2019,1.0,West,    9.21,0.0,Edu,201901.0
1157,2019,1,East,   21.41,0.0,Commute,201901.0
201,2019,1.0,West,    6.73,0.0,Walk,201901.0
1,2019,1.0,North,   14.33,0.0,Total,201901.0
197,2019,1.0,East,    6.74,0.0,Walk,201901.0
589,2019,1.0,South,   18.88,0.0,Visit,201901.0
1161,2019,1,West,   17.63,0.0,Commute,201901.0
577,2019,1.0,North,   21.09,0.0,Visit,201901.0
193,2019,1.0,North,    6.35,0.0,Walk,201901.0
581,2019,1.0,East,   19.64,0.0,Visit,201901.0
781,2019,1.0,South,   17.17,0.0,Edu,201901.0
593,2019,2.0,North,   21.74,0.0,Visit,201902.0
597,2019,2.0,East,   22.32,0.0,Visit,201902.0
601,2019,2.0,West,   27.67,0.0,Visit,201902.0
401,2019,2.0,North,    7.28,0.0,Fun,201902.0
17,2019,2.0,North,   11.50,0.0,Total,201902.0
1169,2019,2,North,   14.99,0.0,Commute,201902.0
1173,2019,2,East,   22.21,0.0,Commute,201902.0
797,2019,2.0,South,   14.84,0.0,Edu,201902.0
605,2019,2.0,South,   17.27,0.0,Visit,201902.0
409,2019,2.0,West,   14.43,0.0,Fun,201902.0
1177,2019,2,West,   20.89,0.0,Commute,201902.0
989,2019,2.0,South,    4.83,0.0,Shop,201902.0
985,2019,2.0,West,    4.75,0.0,Shop,201902.0
981,2019,2.0,East,    5.91,0.0,Shop,201902.0
977,2019,2.0,North,    6.89,0.0,Shop,201902.0
785,2019,2.0,North,0,0.0,Edu,201902.0
789,2019,2.0,East,    8.71,0.0,Edu,201902.0
1181,2019,2,South,   15.56,0.0,Commute,201902.0
793,2019,2.0,West,   11.80,0.0,Edu,201902.0
405,2019,2.0,East,    9.88,0.0,Fun,201902.0
413,2019,2.0,South,   10.18,0.0,Fun,201902.0
25,2019,2.0,West,   14.44,0.0,Total,201902.0
209,2019,2.0,North,    8.45,0.0,Walk,201902.0
221,2019,2.0,South,    8.08,0.0,Walk,201902.0
217,2019,2.0,West,    7.25,0.0,Walk,201902.0
29,2019,2.0,South,   11.46,0.0,Total,201902.0
21,2019,2.0,East,   13.52,0.0,Total,201902.0
213,2019,2.0,East,    9.96,0.0,Walk,201902.0
421,2019,3.0,East,   12.60,0.0,Fun,201903.0
425,2019,3.0,West,   12.47,0.0,Fun,201903.0
429,2019,3.0,South,   14.51,0.0,Fun,201903.0
33,2019,3.0,North,   12.26,0.0,Total,201903.0
621,2019,3.0,South,   18.87,0.0,Visit,201903.0
45,2019,3.0,South,   12.70,0.0,Total,201903.0
613,2019,3.0,East,   22.61,0.0,Visit,201903.0
617,2019,3.0,West,   20.99,0.0,Visit,201903.0
609,2019,3.0,North,0,0.0,Visit,201903.0
1185,2019,3,North,   14.82,0.0,Commute,201903.0
41,2019,3.0,West,   12.40,0.0,Total,201903.0
37,2019,3.0,East,   14.31,0.0,Total,201903.0
801,2019,3.0,North,0,0.0,Edu,201903.0
805,2019,3.0,East,   11.44,0.0,Edu,201903.0
1189,2019,3,East,   20.23,0.0,Commute,201903.0
809,2019,3.0,West,   12.09,0.0,Edu,201903.0
813,2019,3.0,South,   16.67,0.0,Edu,201903.0
1193,2019,3,West,   17.83,0.0,Commute,201903.0
417,2019,3.0,North,   14.93,0.0,Fun,201903.0
225,2019,3.0,North,    6.84,0.0,Walk,201903.0
1197,2019,3,South,   18.78,0.0,Commute,201903.0
1001,2019,3.0,West,    5.02,0.0,Shop,201903.0
993,2019,3.0,North,    7.37,0.0,Shop,201903.0
233,2019,3.0,West,    7.33,0.0,Walk,201903.0
229,2019,3.0,East,    7.87,0.0,Walk,201903.0
1005,2019,3.0,South,    5.46,0.0,Shop,201903.0
237,2019,3.0,South,    8.05,0.0,Walk,201903.0
997,2019,3.0,East,    7.78,0.0,Shop,201903.0
61,2019,4.0,South,   12.71,0.0,Total,201904.0
245,2019,4.0,East,   12.14,0.0,Walk,201904.0
53,2019,4.0,East,   14.74,0.0,Total,201904.0
249,2019,4.0,West,    9.10,0.0,Walk,201904.0
821,2019,4.0,East,0,0.0,Edu,201904.0
445,2019,4.0,South,   17.58,0.0,Fun,201904.0
1013,2019,4.0,East,    4.61,0.0,Shop,201904.0
1209,2019,4,West,   20.55,0.0,Commute,201904.0
817,2019,4.0,North,0,0.0,Edu,201904.0
441,2019,4.0,West,   13.82,0.0,Fun,201904.0
1201,2019,4,North,   16.48,0.0,Commute,201904.0
1017,2019,4.0,West,    4.94,0.0,Shop,201904.0
437,2019,4.0,East,   14.03,0.0,Fun,201904.0
1009,2019,4.0,North,0,0.0,Shop,201904.0
825,2019,4.0,West,   12.47,0.0,Edu,201904.0
433,2019,4.0,North,    9.94,0.0,Fun,201904.0
1205,2019,4,East,   19.63,0.0,Commute,201904.0
57,2019,4.0,West,   13.54,0.0,Total,201904.0
241,2019,4.0,North,0,0.0,Walk,201904.0
49,2019,4.0,North,   15.50,0.0,Total,201904.0
829,2019,4.0,South,   16.13,0.0,Edu,201904.0
633,2019,4.0,West,   18.29,0.0,Visit,201904.0
637,2019,4.0,South,   12.36,0.0,Visit,201904.0
1021,2019,4.0,South,    4.49,0.0,Shop,201904.0
253,2019,4.0,South,   11.66,0.0,Walk,201904.0
